




             MODEL 89          AU1-88   AU1-68
           5   0.0967            0.0663   0.0654
          10   0.2038            0.1832   0.1594
          15   0.3266            0.3378   0.3244
          20   0.4586            0.4592   0.4379
          25   0.5780            0.5408   0.4912
          30   0.6804            0.6945   0.7334
          35   0.7612            0.7521   0.7660
          40   0.8278            0.8047   0.8032
          45   0.8759            0.8704   0.8959
          50   0.9113            0.9015   0.9111
          55   0.9382            0.9165   0.9169
          60   0.9584            0.9563   0.9757
          65   0.9729            0.9661   0.9790
          70   0.9838            0.9751   0.9835
          75   0.9907            0.9880   0.9922
          80   0.9955            0.9916   0.9938
          85   0.9987            0.9930   0.9950
          90   0.9998            1.0000   0.9997
    
    
